RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
238,"Kevin Walter, Hou WR",0/0,0,0,0,0,0,0,44,532,3,71
239,"Kahlil Bell, Chi RB",0/0,0,0,0,30,141,0,22,204,0,32
240,"Ronnie Hillman, Den RB  P",0/0,0,0,0,32,134,0,30,287,1,45
241,"Brian Hartline*, Mia WR  O",0/0,0,0,0,2,21,0,43,610,1,69
242,"Leon Washington, Sea RB",0/0,0,0,0,61,285,1,27,202,0,52
243,"Bilal Powell, NYJ RB",0/0,0,0,0,17,66,1,10,65,0,18
244,"Scott Chandler, Buf TE",0/0,0,0,0,0,0,0,31,315,5,61
245,"Vick Ballard, Ind RB",0/0,0,0,0,34,130,2,4,30,0,26
246,"Javon Ringer, Ten RB",0/0,0,0,0,0,0,0,0,0,0,0
247,"D.J. Ware, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0
248,"Emmanuel Sanders, Pit WR  P",0/0,0,0,0,0,0,0,26,355,2,47
249,"Heath Miller, Pit TE  P",0/0,0,0,0,0,0,0,52,546,1,60
250,"Chris Ivory, NO RB",0/0,0,0,0,0,0,0,0,0,0,0
251,"Jerrel Jernigan, NYG WR",0/0,0,0,0,0,0,0,29,312,2,43
252,"John Kuhn, GB RB  Q",0/0,0,0,0,0,0,0,0,0,0,0
253,"Baron Batch, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0
254,"Christian Ponder, Min QB",207/370,2359,17,15,32,251,0,0,0,0,149
255,"Matt Moore, Mia QB",156/267,1825,15,10,24,67,1,0,0,0,117
256,"Chris Ogbonnaya, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0
257,"Brandon Jackson, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0
258,"Jake Locker, Ten QB",124/218,1773,10,10,21,91,2,0,0,0,107
259,"Andre Roberts, Ari WR",0/0,0,0,0,0,0,0,42,497,1,55
260,"Marcel Reece, Oak RB",0/0,0,0,0,0,0,0,0,0,0,0
261,"Lance Ball, Den RB",0/0,0,0,0,0,0,0,0,0,0,0
262,"Donald Jones, Buf WR",0/0,0,0,0,3,14,0,33,333,2,46
263,"Brandon Weeden, Cle QB",248/435,2557,16,12,20,27,0,0,0,0,136
264,"Chris Givens, StL WR",0/0,0,0,0,0,0,0,36,489,1,54
265,"Mike Nugent, Cin K",0/0,0,0,0,0,0,0,0,0,0,123
266,"Tashard Choice, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0
267,"Jordan Shipley, Cin WR",0/0,0,0,0,0,0,0,27,281,1,34
268,"Mike Thomas, Jac WR",0/0,0,0,0,7,41,0,37,362,2,52
269,"Jason Hanson, Det K",0/0,0,0,0,0,0,0,0,0,0,123
270,"Dennis Pitta, Bal TE  Q",0/0,0,0,0,0,0,0,26,289,3,46
271,"Justin Forsett, Hou RB",0/0,0,0,0,0,0,0,0,0,0,0
272,"Evan Moore, Cle TE",0/0,0,0,0,0,0,0,33,321,3,50
273,"Jacoby Jones, Bal WR",0/0,0,0,0,4,19,0,26,397,2,52
274,"Earl Bennett, Chi WR  Q",0/0,0,0,0,0,0,0,24,324,2,42
275,"Anthony Fasano, Mia TE",0/0,0,0,0,0,0,0,31,358,3,53
276,"Tony Moeaki, KC TE  P",0/0,0,0,0,0,0,0,38,397,2,51
277,"LaRod Stephens-Howling, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0
278,"Mohamed Massaquoi, Cle WR  Q",0/0,0,0,0,0,0,0,40,507,1,56
279,"Steve Slaton, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0
280,"Golden Tate, Sea WR",0/0,0,0,0,5,14,0,27,312,1,38
281,"Danario Alexander, StL WR  Q",0/0,0,0,0,0,0,0,26,376,2,49
282,"Brian Leonard, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0
283,"Nate Kaeding, SD K  P",0/0,0,0,0,0,0,0,0,0,0,126
284,"Da'Rel Scott, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0
285,"Randy Bullock, Hou K",0/0,0,0,0,0,0,0,0,0,0,123
286,"Brandon Saine, GB RB  Q",0/0,0,0,0,0,0,0,0,0,0,0
287,Chiefs D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,110
288,"Keiland Williams, Det RB",0/0,0,0,0,0,0,0,0,0,0,0
289,"Kellen Davis, Chi TE",0/0,0,0,0,0,0,0,21,252,4,49
290,"Chaz Schilens, NYJ WR  Q",0/0,0,0,0,0,0,0,23,308,1,36
291,"Chris Rainey, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0
292,"Marcus Easley, Buf WR",0/0,0,0,0,0,0,0,24,331,1,39
293,"Jamie Harper, Ten RB",0/0,0,0,0,0,0,0,0,0,0,0
294,"Phillip Tanner*, Dal RB  O",0/0,0,0,0,0,0,0,0,0,0,0
295,"John Carlson, Min TE  Q",0/0,0,0,0,0,0,0,21,274,2,39
296,"Donnie Avery, Ind WR  Q",0/0,0,0,0,0,0,0,26,434,2,55
297,"Billy Cundiff, Bal K",0/0,0,0,0,0,0,0,0,0,0,119
298,"Dan Carpenter, Mia K",0/0,0,0,0,0,0,0,0,0,0,114
299,Cardinals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,107
300,Giants D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,114
301,"Terrance Ganaway, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0
302,"Lex Hilliard, Min RB",0/0,0,0,0,0,0,0,0,0,0,0
303,"Benjamin Watson, Cle TE",0/0,0,0,0,0,0,0,35,346,2,46
304,"Greg Salas, StL WR",0/0,0,0,0,0,0,0,33,382,2,50
305,"Tony Scheffler, Det TE",0/0,0,0,0,0,0,0,28,341,3,52
306,"Steve Smith, StL WR",0/0,0,0,0,0,0,0,24,271,1,33
307,"Olindo Mare, Car K",0/0,0,0,0,0,0,0,0,0,0,113
308,Bengals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,99
309,"Johnny White, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0
310,"Matt Hasselbeck, Ten QB",174/289,1947,17,15,21,31,0,0,0,0,114
311,"Mewelde Moore, Ind RB  Q",0/0,0,0,0,0,0,0,0,0,0,0
312,"Blaine Gabbert, Jac QB",131/247,1413,12,9,47,114,1,0,0,0,95
313,"Anthony Dixon, SF RB",0/0,0,0,0,0,0,0,0,0,0,0
314,"DuJuan Harris, Jac RB",0/0,0,0,0,0,0,0,0,0,0,0
315,"Jordan Todman, Min RB  P",0/0,0,0,0,0,0,0,0,0,0,0
316,"Chad Henne, Jac QB",115/196,1310,12,8,18,99,1,0,0,0,91
317,"Ryan Broyles, Det WR  Q",0/0,0,0,0,0,0,0,27,304,1,34
318,"Jackie Battle, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
319,"Lawrence Tynes, NYG K",0/0,0,0,0,0,0,0,0,0,0,111
320,"Cyrus Gray, KC RB",0/0,0,0,0,0,0,0,0,0,0,0
321,"Dallas Clark, TB TE",0/0,0,0,0,0,0,0,26,247,3,42
322,Rams D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,95
323,"John Skelton, Ari QB",111/206,1354,8,9,13,61,0,0,0,0,72
324,"David Garrard, Mia QB  Q",85/141,592,7,7,31,172,1,0,0,0,54
325,"Anthony Allen, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0
326,"Dan Herron, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0
327,"Armon Binns, Cin WR",0/0,0,0,0,0,0,0,20,267,1,32
328,"Josh Brown, NYJ K",0/0,0,0,0,0,0,0,0,0,0,108
329,Dolphins D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,98
330,"Kevin Boss, KC TE",0/0,0,0,0,0,0,0,21,252,2,37
331,"Nick Toon, NO WR  Q",0/0,0,0,0,0,0,0,18,217,2,33
332,"Early Doucet, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0
333,"Deji Karim, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0
334,"Tyrell Sutton, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0
335,"Dwayne Allen, Ind TE",0/0,0,0,0,0,0,0,20,206,3,38
336,"Shaun Suisham, Pit K",0/0,0,0,0,0,0,0,0,0,0,108
337,Patriots D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,73
338,Raiders D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,103
339,"Aaron Brown, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0
340,"Jerricho Cotchery, Pit WR",0/0,0,0,0,0,0,0,0,0,0,0
341,"Connor Barth, TB K",0/0,0,0,0,0,0,0,0,0,0,107
342,"Steven Hauschka, Sea K",0/0,0,0,0,0,0,0,0,0,0,106
343,"Michael Smith, TB RB",0/0,0,0,0,0,0,0,0,0,0,0
344,"Edwin Baker, SD RB",0/0,0,0,0,0,0,0,0,0,0,0
345,"Deion Branch, NE WR  Q",0/0,0,0,0,0,0,0,0,0,0,0
346,"Brandon Bolden, NE RB",0/0,0,0,0,0,0,0,0,0,0,0
347,"Tauren Poole, Car RB",0/0,0,0,0,0,0,0,0,0,0,0
348,"Lee Evans, Jac WR",0/0,0,0,0,0,0,0,0,0,0,0
349,"Curtis Brinkley, SD RB",0/0,0,0,0,0,0,0,0,0,0,0
350,Titans D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,89
351,"Louis Murphy, Car WR  P",0/0,0,0,0,0,0,0,0,0,0,0
352,"Jason Avant, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0
353,"Chris Cooley, Wsh TE",0/0,0,0,0,0,0,0,21,190,2,31
354,"Todd Heap, Ari TE",0/0,0,0,0,0,0,0,27,297,1,35
355,"Devin Hester, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0
356,"Kevin Ogletree, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0
357,"Harry Douglas, Atl WR  P",0/0,0,0,0,0,0,0,0,0,0,0
358,"Ryan Tannehill, Mia QB",69/130,841,7,7,14,15,0,0,0,0,46
359,"Chris Polk, Phi RB",0/0,0,0,0,0,0,0,0,0,0,0
360,"Joe Webb, Min QB",51/91,530,3,4,26,130,2,0,0,0,46
361,"Lance Kendricks, StL TE",0/0,0,0,0,0,0,0,29,277,1,33
362,"Adrian Arrington*, NO WR  O",0/0,0,0,0,0,0,0,0,0,0,0
363,Broncos D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,98
364,"Brandon Myers, Oak TE  Q",0/0,0,0,0,0,0,0,18,171,0,17
365,"David Gettis, Car WR  Q",0/0,0,0,0,0,0,0,0,0,0,0
366,"Brad Smith, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0
367,"Greg Zuerlein, StL K",0/0,0,0,0,0,0,0,0,0,0,105
368,"Rian Lindell, Buf K",0/0,0,0,0,0,0,0,0,0,0,105
369,"Michael Jenkins, Min WR",0/0,0,0,0,0,0,0,0,0,0,0
370,"Josh Cribbs, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0
371,"Rob Housler, Ari TE",0/0,0,0,0,0,0,0,0,0,0,0
372,"Ryan Torain, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
373,"Luke Stocker, TB TE",0/0,0,0,0,0,0,0,0,0,0,0
374,"Legedu Naanee, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0
375,"Visanthe Shiancoe, NE TE",0/0,0,0,0,0,0,0,0,0,0,0
376,"Colt McCoy, Cle QB",61/107,640,4,3,17,71,0,0,0,0,40
377,"James Casey, Hou TE, RB",0/0,0,0,0,0,0,0,0,0,0,0
378,Jaguars D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,86
379,"Jeremy Kerley, NYJ WR  Q",0/0,0,0,0,0,0,0,0,0,0,0
380,"Brian Hoyer, NE QB",0/0,0,0,0,0,0,0,0,0,0,0
381,"Delanie Walker, SF TE  Q",0/0,0,0,0,0,0,0,0,0,0,0
382,"Randy McMichael, SD TE",0/0,0,0,0,0,0,0,0,0,0,0
383,"Jerious Norwood, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
384,"Preston Parker, TB WR",0/0,0,0,0,0,0,0,0,0,0,0
385,"Riley Cooper*, Phi WR  O",0/0,0,0,0,0,0,0,0,0,0,0
386,"Tandon Doss, Bal WR  P",0/0,0,0,0,0,0,0,0,0,0,0
387,"Johnny Knox*, Chi WR  O",0/0,0,0,0,0,0,0,0,0,0,0
388,"Anthony Armstrong*, Wsh WR  O",0/0,0,0,0,0,0,0,0,0,0,0
389,"Adam Vinatieri, Ind K",0/0,0,0,0,0,0,0,0,0,0,103
390,"John Phillips, Dal TE  Q",0/0,0,0,0,0,0,0,0,0,0,0
391,"Arrelious Benn*, TB WR  O",0/0,0,0,0,0,0,0,0,0,0,0
392,"David Thomas, NO TE",0/0,0,0,0,0,0,0,0,0,0,0
393,Redskins D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,82
394,"Gary Barnidge, Car TE",0/0,0,0,0,0,0,0,0,0,0,0
395,"Dane Sanzenbacher, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0
396,"Clay Harbor, Phi TE",0/0,0,0,0,0,0,0,0,0,0,0
397,"Joseph Addai, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
398,"T.Y. Hilton, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0
399,"Dezmon Briscoe, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0
400,"Jay Feely, Ari K",0/0,0,0,0,0,0,0,0,0,0,102
401,"Ben Obomanu, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0
402,"Andre Holmes, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0
403,"Julian Edelman, NE WR",0/0,0,0,0,0,0,0,0,0,0,0
404,Browns D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,74
405,"Ryan Succop, KC K",0/0,0,0,0,0,0,0,0,0,0,101
406,"Lousaka Polite, Atl RB",0/0,0,0,0,0,0,0,0,0,0,0
407,"Chase Daniel, NO QB",0/0,0,0,0,0,0,0,0,0,0,0
408,"Julius Thomas, Den TE",0/0,0,0,0,0,0,0,0,0,0,0
409,"Brandon Stokley, Den WR",0/0,0,0,0,0,0,0,0,0,0,0
410,"Roscoe Parrish, SD WR",0/0,0,0,0,0,0,0,0,0,0,0
411,"Kyle Orton, Dal QB",0/0,0,0,0,0,0,0,0,0,0,0
412,"Phil Dawson, Cle K",0/0,0,0,0,0,0,0,0,0,0,100
413,Chargers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,86
414,"Quinn Porter, StL RB",0/0,0,0,0,0,0,0,0,0,0,0
415,"Joe Adams, Car WR",0/0,0,0,0,0,0,0,0,0,0,0
416,"Brandon Tate, Cin WR",0/0,0,0,0,0,0,0,0,0,0,0
417,"Shaun Hill, Det QB",0/0,0,0,0,0,0,0,0,0,0,0
418,"Matt Leinart, Oak QB",0/0,0,0,0,0,0,0,0,0,0,0
419,"Josh Scobee, Jac K",0/0,0,0,0,0,0,0,0,0,0,100
420,"Jordan Cameron, Cle TE  P",0/0,0,0,0,0,0,0,0,0,0,0
421,"Devin Aromashodu, Min WR",0/0,0,0,0,0,0,0,0,0,0,0
422,"Rex Grossman, Wsh QB",0/0,0,0,0,0,0,0,0,0,0,0
423,"Cadillac Williams, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
424,Vikings D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,80
425,"Brandon Gibson, StL WR  Q",0/0,0,0,0,0,0,0,0,0,0,0
426,"Jason Campbell, Chi QB",0/0,0,0,0,0,0,0,0,0,0,0
427,"Adrien Robinson, NYG TE",0/0,0,0,0,0,0,0,0,0,0,0
428,"T.J. Yates, Hou QB",0/0,0,0,0,0,0,0,0,0,0,0
429,"Marvin Jones, Cin WR",0/0,0,0,0,0,0,0,0,0,0,0
430,"A.J. Jenkins, SF WR",0/0,0,0,0,0,0,0,0,0,0,0
431,"Sammie Stroughter, TB WR",0/0,0,0,0,0,0,0,0,0,0,0
432,"Blair Walsh, Min K",0/0,0,0,0,0,0,0,0,0,0,98
433,"Clyde Gates, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0
434,"Ladarius Green, SD TE",0/0,0,0,0,0,0,0,0,0,0,0
435,"Brian Robiskie, Jac WR",0/0,0,0,0,0,0,0,0,0,0,0
436,"John Kasay, NO K",0/0,0,0,0,0,0,0,0,0,0,0
437,"Josh Johnson, SF QB",0/0,0,0,0,0,0,0,0,0,0,0
438,"Clinton Portis, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
439,"Deon Butler, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0
440,"Lavelle Hawkins, Ten WR  P",0/0,0,0,0,0,0,0,0,0,0,0
441,Saints D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,77
442,"Kris Durham, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0
443,"Michael Egnew, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0
444,"Keshawn Martin, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0
445,"Graham Harrell, GB QB",0/0,0,0,0,0,0,0,0,0,0,0
446,"Jarius Wright, Min WR",0/0,0,0,0,0,0,0,0,0,0,0
447,"Nick Folk, NYJ K",0/0,0,0,0,0,0,0,0,0,0,0
448,"Stephen Williams, Ari WR  Q",0/0,0,0,0,0,0,0,0,0,0,0
449,"Seyi Ajirotutu, Car WR",0/0,0,0,0,0,0,0,0,0,0,0
450,"Nick Novak, SD K",0/0,0,0,0,0,0,0,0,0,0,0
451,"Maurice Morris, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
452,"Charles Clay, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0
453,"Jason Hill, Den WR",0/0,0,0,0,0,0,0,0,0,0,0
454,"Vince Young, Buf QB",0/0,0,0,0,0,0,0,0,0,0,0
455,"Tarvaris Jackson, Sea QB",0/0,0,0,0,0,0,0,0,0,0,0
456,Buccaneers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,78
457,"Josh Gordon, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0
458,"Graham Gano, Wsh K  P",0/0,0,0,0,0,0,0,0,0,0,0
459,"Michael Hoomanawanui, StL TE",0/0,0,0,0,0,0,0,0,0,0,0
460,"Byron Leftwich, Pit QB",0/0,0,0,0,0,0,0,0,0,0,0
461,"Charlie Whitehurst, SD QB  Q",0/0,0,0,0,0,0,0,0,0,0,0
462,"Dan Orlovsky, TB QB",0/0,0,0,0,0,0,0,0,0,0,0
463,"Brady Quinn, KC QB",0/0,0,0,0,0,0,0,0,0,0,0
464,"Thomas Jones, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
465,"Cecil Shorts, Jac WR",0/0,0,0,0,0,0,0,0,0,0,0
466,"Shayne Graham, Hou K",0/0,0,0,0,0,0,0,0,0,0,0
467,"Zach Miller, Sea TE  Q",0/0,0,0,0,0,0,0,39,413,3,59
468,"Mike Kafka, Phi QB  Q",0/0,0,0,0,0,0,0,0,0,0,0
469,"Caleb Hanie, Den QB",0/0,0,0,0,0,0,0,0,0,0,0
470,"David Carr, NYG QB",0/0,0,0,0,0,0,0,0,0,0,0
471,Panthers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,86
472,"Orson Charles, Cin TE",0/0,0,0,0,0,0,0,0,0,0,0
473,"Derek Anderson, Car QB",0/0,0,0,0,0,0,0,0,0,0,0
474,"Kellen Clemens, StL QB",0/0,0,0,0,0,0,0,0,0,0,0
475,"Earnest Graham, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
476,"Anthony Gonzalez, FA WR",0/0,0,0,0,0,0,0,0,0,0,0
477,"D.J. Williams, GB TE  P",0/0,0,0,0,0,0,0,0,0,0,0
478,"Chris Redman, Atl QB",0/0,0,0,0,0,0,0,0,0,0,0
479,"Tyrod Taylor, Bal QB",0/0,0,0,0,0,0,0,0,0,0,0
480,"Bruce Gradkowski, Cin QB",0/0,0,0,0,0,0,0,0,0,0,0
481,"Drew Stanton, Ind QB",0/0,0,0,0,0,0,0,0,0,0,0
482,"Evan Rodriguez, Chi TE",0/0,0,0,0,0,0,0,0,0,0,0
483,Colts D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,65
484,"Ryan Longwell, FA K",0/0,0,0,0,0,0,0,0,0,0,0
485,"Chester Taylor, FA RB",0/0,0,0,0,0,0,0,0,0,0,0
486,"Matt Willis, Den WR",0/0,0,0,0,0,0,0,0,0,0,0
487,"Colin Kaepernick, SF QB",0/0,0,0,0,0,0,0,0,0,0,0
488,"Russell Wilson, Sea QB",0/0,0,0,0,0,0,0,0,0,0,0
489,"Jeff King, Ari TE  P",0/0,0,0,0,0,0,0,0,0,0,0
490,"Stephen McGee, Dal QB",0/0,0,0,0,0,0,0,0,0,0,0
491,"Ryan Mallett, NE QB",0/0,0,0,0,0,0,0,0,0,0,0
492,"Seneca Wallace, Cle QB",0/0,0,0,0,0,0,0,0,0,0,0
493,"Dante Rosario, SD TE",0/0,0,0,0,0,0,0,0,0,0,0
494,"Terrelle Pryor, Oak QB",0/0,0,0,0,0,0,0,0,0,0,0
495,"Kirk Cousins, Wsh QB",0/0,0,0,0,0,0,0,0,0,0,0
496,"Brock Osweiler, Den QB",0/0,0,0,0,0,0,0,0,0,0,0
497,"B.J. Coleman, GB QB",0/0,0,0,0,0,0,0,0,0,0,0
498,"Jerome Harrison*, FA RB  O",0/0,0,0,0,0,0,0,0,0,0,0
499,"Taylor Price*, Jac WR  O",0/0,0,0,0,0,0,0,0,0,0,0
500,"Andrew Quarless*, GB TE  O",0/0,0,0,0,0,0,0,0,0,0,0
